"会员","级别","评价星级","评价内容","时间","点赞数","评论数","追评时间","追评内容","页面网址","页面标题","采集时间"
"A***子","京享值5235","star5","首先双十一拍的热水器，11天才到货这个速度有点接受不了。还好客服和售后服务确实很好。在这里要给美的的售后客服和工作人员点个赞?22早上9点给我送来的货，下午2点安装人员联系我过来安装，而且电话回访做的很到位。当把热水器安装上墙的那刹那，买对了。漂亮，大气?工作人员细心的帮我调整管道设计，力求做到美观?安装的之前有先告知我配件的价格，大概预算。并没遇到像其他人一样安装需要高额费用?最让我想不到的是工作人员很细心，安装完热水器后擦拭干净灰尘（由于我家装修未完成，粉尘很多），自觉把一些安装多出来的废弃配件和胶纸收拾好，还顺手把我的工程废弃物也一并给收拾了?售后服务超级好。在评论下热水器，工作人员教我一次就会使用，很简单。加热半小时后开水30秒出热水，赞。以后使用再看看质量如何再追加评论。想购买的朋友可以大胆入手了。","2017-11-23 04:35","29","18",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:15:29.2321893"
"j***2","京享值20392","star5","电热水器收到了，京东自营商品就是好，发货速度快，品质有保障，安装效果好，宝贝非常喜欢，冬天可以24小时有热水了，京东自营值得信赖，值得推荐京东自营。","2017-10-18 20:22","27","16",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:15:29.3352588"
"陌***丶","京享值68730","star5","*首先双十一拍的热水器，11天才到货这个速度有点接受不了。还好客服和售后服务确实很好。在这里要给美的的售后客服和工作人员点个赞?22早上9点给我送来的货，下午2点安装人员联系我过来安装，而且电话回访做的很到位。当把热水器安装上墙的那刹那，买对了。漂亮，大气?工作人员细心的帮我调整管道设计，力求做到美观?安装的之前有先告知我配件的价格，大概预算。并没遇到像其他人一样安装需要高额费用?最让我想不到的是工作人员很细心，安装完热水器后擦拭干净灰尘（由于我家装修未完成，粉尘很多），自觉把一些安装多出来的废弃配件和胶纸收拾好，还顺手把我的工程废弃物也一并给收拾了?售后服务超级好。在评论下热水器，工作人员教我一次就会使用，很简单。加热半小时后开水30秒出热水，赞。以后使用再看看质量如何再追加评论。想购买的朋友可以大胆入手了。","2018-01-31 17:59","72","1","[购买36天后追评]",,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:15:29.3642791"
"九***D","PLUS会员","star5","很好的！物流也非常的快！隔天就来安装哦！价格比外面便宜哦！","2018-01-26 11:44","0","1",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:15:29.3922963"
"既酷又帅的李先生","PLUS会员","star5","首先说第一点，那个配送，师傅配送的很及时，然后安装，预约安装很方便，他都亲自上门打电话来了。最后说一下那个安装费，一米，五五左右的管，还有其他东西，我大概用了122块，还是挺便宜的。","2018-02-05 12:40","0","1",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:15:29.4203150"
"j***s","京享值2027","star5","安装服务很好，产品实力过硬，快递服务很好，值得信赖，赞一个，","2018-02-09 16:30","3","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:15:29.4493344"
"聚***阳","京享值2089","star5","美的 我喜欢的品牌。收到热水器师傅过了几天就过来安装了，安装非常完美 非常好。都是按最完美的步骤操作到位。不过除安装外！其他用到师傅的材料都是收费的。这点都知道。好评","2018-02-27 23:50","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:15:29.4783538"
"j***u","京享值2648","star5","安装好了，不错不错，水热的也挺快","2018-01-06 13:52","0","0","[购买2天后追评]",,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:15:29.5103761"
"jd_137687uwgr","京享值1877","star5","昨天下午才下的单，今天上午就到货了，速度和货品都是我满意的，货到没一会儿，安装师傅随后就到了，真是省钱又省心，同一款，在商场要贵四百来块，在京东上还省了。刚装上，还没使用，应该不错，安装师傅和配送师傅都很好，但安装费花了120块。插上电，加热速度还蛮快，十来分钟就到55度的水温了，我买的是60升，2100瓦的。总体来说，还行！","2018-02-27 15:07","0","0","[购买1天后追评]",,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:15:29.5433973"
"T***c","PLUS会员","star5","一直信任京东。质量不错，送货很快，服务很好！ 太漂亮，大气，档次高，超喜欢。 上午下单，下午到家速度啊！看着还行 货品不错，装了实用。质量可以。是值得购买 不错不错不错！！！！！，挺喜欢的，这个用的好，还要买多几个。 物美价廉，用着看看吧，免去市场购物之劳 ，推荐答案 我为什么喜欢在京东买东西，因为今天买明天就可以送到。我为什么每个商品的评价都一样，因为在京东买的东西太多太多了，导致积累了很多未评价的订单，所以我统一用段话作为评价内容。京东购物这么久，有买到很好的产品，也有买到比较坑的产品，如果我用这段话来评价，说明这款产品没问题，至少95分以上， 宝贝收到了，非常喜欢，质量很好，卖家热情，物流给力，非常愉快的一次购物，好评！","2017-11-15 10:37","7","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:15:29.6004354"
"飘***J","PLUS会员","star5","先说说热水效果吧！热水效果速度不错 缺点自来水压力太小以后出水和尿尿一样、干脆不出水！有不知妻美一句话 （气的我都想打人）然后遥控就是骗人的东西 没有什么用！ 其次说说质量 控制面板有开胶的情况  希望各位使用时注意安全。 美的工作人员来安装 根本就不是美的工作人员 就是一个第三方的 我严重怀疑美的的服务态度 、我不是专业的安装完以后收取费用不到200元  没有告知我水压不够不能使用 这些问题太严重了 ！ 我买了以后洗澡次数不超过3次 水太小了 冷水不小的！给美的打电话说给我处理 然后他们工作人员说（你收到短信不要回复 这段时间不上班 去不了 以后你联系我）这什么态度  什么态度？ 我拉货是我本人自己去仓库拿的 （不得不说京东工作人员服务态度不错 、环境也很很好?","2018-02-23 06:11","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:15:32.5588704"
"杨***5","京享值7154","star5","师傅安装的非常快，安装技术娴熟，安装期间告知维护热水器和延长热水器使用寿命的注意事项，安装后收费合理，快过年了晚上师傅还要安装好几家真的很辛苦，全五星好评。","2018-02-12 20:58","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:15:32.6189111"
"5***凯","京享值46019","star5","热水器，有颜值，有质量。","2018-02-09 16:21","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:15:32.6519328"
"j***s","PLUS会员","star5","第一次在京东买热水器原本以为很实惠～方便，但等安装师傅要等几天，还有材料费真贵要成三百块，等安装好了结果出水太少了，出水还不如我隔壁房间的海尔热水器多。，出水简直是蚊同大象比。如果冷天洗澡可以冷死人，我宁愿用水龙头洗冷水澡！唯一满意就是送货快～","2018-01-22 23:04","0","1",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:15:32.6819541"
